intaketime,dispatchtime,traveltime,totalresponsetime,time_on_scene,totaltime
1.7,360.2,443.1,809.4,12.9,822.3
0.3,759.9,9.3,769.5,45.4,814.8
7,723.4,9.7,740.2,47.8,787.9
2.2,118.3,604.3,725.1,1.5,726.6
2.9,700.7,9.8,713.5,5.1,718.5
2.1,687.8,15.3,706.6,22.2,728.8
0.8,685.4,15.9,703.9,63.9,767.8
0,693.7,5.3,699,4.9,703.9
2.4,685.9,4.4,692.7,7.1,699.8
1.9,659.6,23.3,687.4,3.7,691.1
3.5,678.2,2.7,684.5,12.9,697.4
2.4,664.3,16.1,683.3,3.9,687.1
2.9,657,14.3,675.1,30.9,706
2.1,143.1,5.4,661.5,20,681.5
3.5,652.9,3.8,660.3,2.1,662.4
1.7,632.5,24.3,659.9,22.1,682
6.7,631.2,0,658.7,12.9,671.5
2.5,647.4,3,657.2,3.1,660.3
2,648.1,1.5,652.3,5.8,658.1
0.6,638.7,11.4,650.6,0.7,651.3
1.9,230,416.8,648.8,26.1,674.8
2.8,639.5,0,642.7,4.2,646.9
1.1,629.5,6.2,637.4,1.7,639.1
5.3,622.8,8.1,637.3,4.5,641.8
1.7,630.8,4,636.5,29.4,665.9
2.4,583.1,19.4,635,34.3,669.3
1.8,620.7,5.4,629.1,16.1,645.2
1.4,624.3,2.3,628.1,1.8,629.9
1.6,615.4,5,625.8,4.2,630
0.6,143.1,479.8,625.6,40.6,666.2
5.5,193.4,10.1,623.6,7.4,631
1.7,83.9,535.3,621.4,2.5,623.9
1.3,603.6,12.8,621.2,62.6,683.7
2.4,611.3,7,620.7,35,655.8
2,612,4.9,619,29.3,648.3
0.9,610.2,5.8,618.5,4.4,622.9
2,609,3,617.6,6,623.6
3,589.1,0.7,616.3,114.2,730.4
2.4,600.7,8.8,612,25.3,637.3
0.8,213,8.9,605.4,8.9,614.3
1.3,532,70.9,604.8,11.6,616.5
3.3,592.1,5.9,603,3,605.9
1,380.9,221.1,603,43.9,646.9
2.6,591.5,7.4,601.6,2.6,604.2
2.1,582.1,15.6,600.3,5.6,605.9
0.8,0.5,595.6,597.3,3.7,601.1
1.7,586.8,7.7,596.3,5,601.3
0.8,584.2,6.8,592.1,20.9,613
0.8,565.8,22.2,588.8,18.8,607.6
1.8,580.1,4.4,587.6,16.7,604.3
4.2,568.3,12.6,585.4,24.8,610.2
1.2,575.2,6.4,583.4,6.7,590.1
0,570.5,0,583.2,16.2,599.4
4.4,565.4,12.8,582.7,31.6,614.3
4.5,547.9,29.7,582.1,16.8,598.9
5.5,546,22.9,574.5,23.2,597.7
1,567.9,3.1,573.6,12.4,586
1.2,568.9,0.5,571.5,0.1,571.5
1.6,564.9,3.2,570.1,6.3,576.4
0.8,562.5,5.3,569.8,2.6,572.4
1.5,562,4.4,567.9,2.9,570.8
0.9,563.7,0,565.8,4,569.8
1.7,551.2,12.3,565.3,3.3,568.5
2.3,547.7,13,564.5,18.2,582.8
0.7,503,58.6,563.8,32.2,596
1.4,553.3,5.6,560.7,4,564.7
2.5,548.3,4.5,555.8,7.4,563.2
0.9,61.6,490.8,553.6,1.9,555.4
3.5,531.6,1.2,552.6,66.1,618.6
0.9,538.5,9,551.7,23.7,575.4
1.5,544.5,3.1,549.1,2.9,551.9
3.2,183.4,0,547.7,63.6,611.3
2.2,533.1,8,545.3,9.9,555.2
